bairro,Total ¹,Até 1/2 salário mínimo,Mais de 1/2 a 1 salário mínimo,Mais de 1 a 2 salários mínimos,Mais de 2 a 5 salários mínimos,Mais de 5 a 10 salários mínimos,Mais de 10 a 20 salários mínimos,Mais de 20 salários mínimos,Sem rendimento
Aflitos,1937,5,24,52,183,433,598,530,112
Afogados,11072,402,2151,2812,3342,1272,374,77,642
Agua Fria,12294,681,2699,3651,3516,865,167,32,683
Alto do Mandu,1351,32,250,330,445,163,56,36,39
Alto José Bonifácio,3570,175,772,1100,918,121,19,1,464
Alto José do Pinho,3510,155,813,1052,1025,192,36,,237
Alto Santa Teresinha,2157,109,642,672,498,62,12,1,161
Apipucos,991,66,208,272,263,68,36,46,32
Areias,9129,321,1301,1911,2981,1651,476,86,402
Arruda,4467,150,573,844,1484,890,312,72,142
Barro,9397,499,2002,2730,2651,724,216,43,532
Beberibe,2586,156,609,790,688,130,23,3,187
Boa Viagem,42272,362,2191,3118,6571,9175,10302,8914,1639
Boa Vista,5999,25,373,698,1904,1527,824,347,301
Bomba do Hemetério,2350,89,518,609,758,180,42,10,144
Bongi,2345,113,438,599,685,259,121,42,88
Brasília Teimosa,5464,219,1194,1614,1778,376,68,10,205
Brejo da Guabiraba,3426,228,923,1092,809,98,13,23,240
Brejo de Beberibe,2459,206,595,777,634,85,30,10,122
Cabanga,506,31,92,103,161,79,26,10,4
Cajueiro,1902,62,178,322,624,398,207,58,53
Campina do Barreto,2833,238,586,853,807,203,39,7,100
Campo Grande,9554,502,1595,2254,2542,1376,716,204,365
Casa Amarela,9296,113,948,1311,2505,1748,1425,946,300
Casa Forte,2192,4,34,63,207,328,579,949,28
Caxanga,2863,124,420,639,836,406,183,80,175
Caçote,3067,208,715,992,841,135,51,8,117
Cid Universitaria,222,13,37,57,62,39,11,2,1
Coelhos,2322,211,655,735,471,62,23,3,162
Cohab,19534,746,4421,5770,5958,1199,226,54,1160
Coqueiral,3281,145,768,1046,875,171,21,4,251
Cordeiro,12797,279,1627,2183,3524,2745,1494,423,522
Córrego do Jenipapo,2732,132,639,837,737,113,29,10,235
Curado,4900,276,1103,1345,1398,413,73,5,287
Derby,656,7,14,26,61,141,205,171,31
Dois Irmaos,737,31,141,193,207,76,27,23,39
Dois Unidos,9374,518,2658,2846,2250,323,50,5,724
Encruzilhada,4008,16,146,267,834,1143,960,591,51
Engenho do Meio,3053,37,355,496,1098,657,279,68,63
Espinheiro,3602,22,116,188,476,772,1004,850,174
Estancia,2822,163,571,746,862,292,84,17,87
Fundão,2495,113,409,656,839,316,87,13,62
Gracas,7015,15,102,194,603,1363,2289,2229,220
Guabiraba,1779,115,451,613,398,85,27,16,74
Hipodromo,808,7,51,76,191,214,174,79,16
Ibura,15078,796,3259,4394,4567,1011,179,24,848
Ilha do Leite,361,6,18,47,112,89,42,13,34
Ilha do Retiro,1124,77,189,220,190,123,132,149,44
Ilha Joana Bezerra,3606,416,1057,1027,604,55,5,3,439
Imbiribeira,14969,621,2481,3356,4220,2317,1096,266,612
Ipsep,7692,81,765,1233,2681,1761,674,121,376
Iputinga,16294,618,2844,3652,4530,2478,1137,251,784
Jaqueira,529,2,17,24,39,65,143,229,10
Jd S Paulo,9615,237,1435,2167,3155,1542,580,100,399
Jíquiá,3070,150,609,743,770,361,135,22,280
Jordão,6018,243,1162,1772,1998,475,88,8,272
Linha do Tiro,4201,202,1004,1231,1115,187,27,1,434
Macaxeira,5807,281,1223,1749,1607,495,136,38,278
Madalena,7604,137,703,966,1431,1304,1524,1242,297
Mangabeira,2116,96,414,584,612,176,56,6,172
Mangueira,2582,136,622,817,754,152,29,5,67
Monteiro,1742,32,199,281,319,190,224,440,57
Morro da Conceição,2955,123,731,871,916,141,30,2,141
Mustardinha,3669,216,710,1031,1168,295,55,9,185
Nova Descoberta,9958,588,2494,3131,2536,276,32,3,898
Paissandu,180,1,3,10,28,70,50,16,2
Parnamirim,2458,29,126,138,181,337,594,1019,34
Passarinho,5792,457,1577,2015,1277,103,9,,354
PauFerro,16,,1,3,1,,6,5,
Peixinhos,1383,146,388,390,274,27,7,,151
Pina,9457,388,1951,2259,2488,994,569,422,386
Ponto de Parada,500,5,47,92,143,118,68,25,2
Porto da Madeira,2334,67,303,486,825,440,132,17,64
Poco da Panela,1463,10,72,104,168,235,352,498,24
Prado,3696,120,636,803,986,521,394,142,94
Recife,198,14,61,50,28,1,,,44
Rosarinho,1329,26,110,131,185,226,339,269,43
San Martin,7656,246,1125,1600,2492,1367,536,71,219
Sancho,2374,77,364,609,915,284,53,6,66
Santana,978,6,46,63,145,167,211,321,19
Sto Amaro,8474,482,1570,2046,2106,1026,525,140,579
Sto Antonio,142,,11,61,55,12,1,1,1
S Jose,2704,225,662,793,706,121,36,39,122
Sítio dos Pintos,2132,80,424,601,648,112,72,64,131
Soledade,1013,6,59,104,282,266,174,62,60
Tamarineira,4537,23,206,299,827,971,1039,1022,150
Tejipio,2682,47,374,561,935,501,172,26,66
Torre,5941,100,552,691,1158,1245,1235,712,248
Torreao,368,24,19,26,62,66,91,63,17
Torroes,9320,573,2321,2722,2399,537,159,30,579
Toto,746,32,120,227,285,56,9,,17
Varzea,21695,795,3669,4907,6409,3240,1452,362,861
Vasco da Gama,9113,469,1890,2782,2835,551,110,15,461
Zumbi,1957,39,284,412,696,332,126,33,35
Setubal,42272,362,2191,3118,6571,9175,10302,8914,1639
Poco,1899,39,188,295,497,338,242,258,44
Piedade,42272,362,2191,3118,6571,9175,10302,8914,1639
Lagoa do Araca,14969,621,2481,3356,4220,2317,1096,266,612
Benfica,7604,137,703,966,1431,1304,1524,,
